"cv","asynchronyB","asynchronyW","diversity","landscape","size","rep"
0.272032697513337,0,0.541043324,1,"specialized",1,1
0.264619667902424,0.3948826438,0.51257582825,2,"specialized",1,1
0.108840550054601,0.4117788271,0.5452863183,3,"specialized",1,1
0.156482548186674,0.5337576902,0.5996456564,4,"specialized",1,1
0.153526644281345,0.7937519625,0.47622078564,5,"specialized",1,1
0.152484789680183,0.660755043,0.454422357183333,6,"specialized",1,1
0.177490673943655,0.5759914474,0.494598905585714,7,"specialized",1,1
0.268725903410555,0.5138929868,0.3414243094375,8,"specialized",1,1
0.169114972903651,0.6582324189,0.371006035488889,9,"specialized",1,1
0.148856283564484,0.6237592809,0.37427814485,10,"specialized",1,1
0.226533907572926,0,0.6683528012,1,"fragmented",1,1
0.0718434708455118,0.3819462836,0.6101266482,2,"fragmented",1,1
0.283711788521831,0.3410684446,0.502342118,3,"fragmented",1,1
0.234164134103245,0.1659646787,0.5944103893,4,"fragmented",1,1
0.143524608400291,0.73139961,0.650589557,5,"fragmented",1,1
0.159041280156667,0.6470618088,0.49717991695,6,"fragmented",1,1
0.2075730568977,0.631091882,0.522433848585714,7,"fragmented",1,1
0.173014639048835,0.5221811693,0.440844069325,8,"fragmented",1,1
0.306294184092099,0.5812343105,0.2647946771,9,"fragmented",1,1
0.152143529882199,0.7149386354,0.40180177042,10,"fragmented",1,1
0.0685501915629081,0,0.7753030852,1,"diversified",1,1
0.0796811713629442,0.7499189866,0.7887995537,2,"diversified",1,1
0.287950824087088,0.3028301819,0.604605896733333,3,"diversified",1,1
0.143180704622771,0.1182370371,0.6702339157,4,"diversified",1,1
0.171312327329015,0.1873977667,0.62499556632,5,"diversified",1,1
0.131869915258577,0.3421745732,0.725605402566667,6,"diversified",1,1
0.145852652763565,0.3895595315,0.689325955857143,7,"diversified",1,1
0.155010068231271,0.1960033025,0.6734150918625,8,"diversified",1,1
0.128222768691578,0.5390423923,0.763545836733333,9,"diversified",1,1
0.155389142123534,0.6408884588,0.72182694324,10,"diversified",1,1
0.220774045277659,0,0.6595956107,1,"specialized",2,1
0.116113530955487,0.1062712586,0.63624670395,2,"specialized",2,1
0.279947399507751,0.3942395567,0.475204638433333,3,"specialized",2,1
0.119812223305056,0.7540007831,0.497081991025,4,"specialized",2,1
0.0945856837497561,0.8374570874,0.56649564596,5,"specialized",2,1
0.130521633613328,0.7235733868,0.513723004233333,6,"specialized",2,1
0.169014842218641,0.6635685379,0.342934918885714,7,"specialized",2,1
0.10525459583301,0.7698525103,0.4815035502125,8,"specialized",2,1
0.101966349367737,0.83707318,0.324604242344444,9,"specialized",2,1
0.131543185700337,0.7543725641,0.39438960358,10,"specialized",2,1
0.217248525204108,0,0.6977549988,1,"fragmented",2,1
0.167321336951555,0.0978334997,0.85887124145,2,"fragmented",2,1
0.143074095941556,0.3372828983,0.635457812266667,3,"fragmented",2,1
0.180233241092356,0.4726450221,0.599897257625,4,"fragmented",2,1
0.138316842294659,0.3047608626,0.59923802836,5,"fragmented",2,1
0.156885356765606,0.5916803361,0.5780246203,6,"fragmented",2,1
0.185755153429803,0.5072379196,0.567016266885714,7,"fragmented",2,1
0.0894064693767936,0.6651769591,0.614195810725,8,"fragmented",2,1
0.204455521674936,0.526964753,0.521330070455556,9,"fragmented",2,1
0.0915732816836645,0.7803578788,0.56005366995,10,"fragmented",2,1
0.194036477514756,0,0.7486152003,1,"diversified",2,1
0.148247241629419,0.0088673357,0.57470132595,2,"diversified",2,1
0.125564446370207,0.457707983,0.791735366933333,3,"diversified",2,1
0.160427467564476,0.2924221047,0.6657807323,4,"diversified",2,1
0.113266002809983,0.3068884442,0.76664746546,5,"diversified",2,1
0.155572872243536,0.608003873,0.569319628816667,6,"diversified",2,1
0.117867659138862,0.3311631763,0.714694354971429,7,"diversified",2,1
0.148939010985206,0.6507472239,0.627545905875,8,"diversified",2,1
0.0786552589615281,0.7889078998,0.665562512155556,9,"diversified",2,1
0.0900402016997901,0.7007699143,0.7168175216,10,"diversified",2,1
0.321107512895695,0,0.6756892981,1,"specialized",3,1
0.0734068476794448,0.1871564026,0.6270251208,2,"specialized",3,1
0.130256815863914,0.7046355979,0.5915953779,3,"specialized",3,1
0.11832584533934,0.7408958213,0.519898560825,4,"specialized",3,1
0.17268914873908,0.8249966886,0.35718462112,5,"specialized",3,1
0.0909933097083193,0.5805075475,0.531717411333333,6,"specialized",3,1
0.0789953785844819,0.8777791575,0.4826077444,7,"specialized",3,1
0.153373694328826,0.5454803179,0.3491922343125,8,"specialized",3,1
0.0924935004232024,0.889232312,0.5720506212,9,"specialized",3,1
0.0804767839226503,0.8487288773,0.49676981855,10,"specialized",3,1
0.0735650483524738,0,0.5581741224,1,"fragmented",3,1
0.149382303713395,0.007103863,0.4489227361,2,"fragmented",3,1
0.0494280185960278,0.398358983,0.6419022688,3,"fragmented",3,1
0.0500677245619803,0.5077614485,0.7898700349,4,"fragmented",3,1
0.100323665770968,0.6877411382,0.52466119286,5,"fragmented",3,1
0.0926796524387361,0.6688028004,0.72599115815,6,"fragmented",3,1
0.05948475130032,0.741248195,0.621750212271429,7,"fragmented",3,1
0.0935881683206977,0.8390143925,0.6653488653375,8,"fragmented",3,1
